owner,market,net_usdc
0xed3c4c5d7a9abfd74f33c1042793dfd6a6daef42,compound_v2,1.34982390156
0x16142b60327a047d6ee313c9a8a004c3fc3e7540,compound_v2,0.0
0x6e803730ca8f3d0d0551a6b78ddc7ec14040d532,compound_v2,1162791.7842290842
0x5dd521b86c0cd48b88eeece78fec496c804e5dd8,compound_v2,0.0
0x3f0b92e1c2dfe1a29c754a4a10ab10088f3d8df9,compound_v2,0.0
0xf8fa81909edf789994f8998e031ca8ac1929de7e,compound_v2,556.2329446900201
0x0309301ed25e5cbcac19055c00b65a9836f5ac6e,aave_v3,-34342.73895
0x6386e4a9fc80b3f69f2cdbf5ce3bf3777d7c1335,aave_v3,-28800.322167
0x7075f5b527a8786799ab8165f4780e27bc4844c2,compound_v2,250.40444146734
0x1b8c8e4f950da9827839d5e124f6b9f7b8957632,compound_v2,103.42461067731601
0x1b3a0a507ab298cd2079d25de2af5b60a6778664,compound_v2,131.114624921148
0x258d3127778be9dc4c7add7aa32c05de68be7711,compound_v2,320.24148136074
0x763b1ce5fb7ed478a774641e9350e05065a1a95c,compound_v2,106.71712948921201
0xa10d31b628bf5f9fc8e02e91a7564bb2a1e5fea0,compound_v2,103.196480143896
0xad4b3e08e245c19fd6909a1076b05d3bfbd8f354,compound_v2,241.44927954846003
0x64ecfd688448b5ca62672e067d43d8d6aed17a48,compound_v2,100.76630762196
0x30277bccadf7b5c63f909ca73380662f9ef4e7e9,compound_v2,4065.9454095262677
0xdda8bb4752a7f09836bc813c5434db639c496528,compound_v2,471.60679821727206
0x46f21698726d22d270040ea720b2d2e72e054888,aave_v2,-35835.561314
0xa423fe4cfb811e9cf6a61a02e80e372c0970d4b0,aave_v2,-230068.843763
0x2d612df324ec32bc148a87acb08879672b2800fe,aave_v2,-2762.873457
0x78fde612802f86c2b4fa56f0a09c01315073802c,aave_v2,-24522.731633
0xf4581fa9878abb5981f8c9d2fc51a76d322392f2,aave_v2,-3799.996922
0xea92affeef270a0d9a51b5172a5948c3eb7c1ed8,aave_v2,-5548532.717665
0x6bda032b6f8b00c940df7e406411f45459fde0da,aave_v2,-1028.70715
0x000000003ce0cf2c037493b1dc087204bd7f713e,aave_v2,-20224.545964
0x246e8ae11a6abdf2d0496b2fc754705fcdf122a3,aave_v2,-4322.733528
0xb49f86d0223437d3e6ce9767e88dfa0413682941,aave_v2,-9348.36107
0xd45c175244897e438d4cebfd6dbdd4a17d5950f5,aave_v2,-503.725039
0x70e790c39eb82e58d676714bee75727a03773939,aave_v2,-43754.0
0x41077fee35207ca17c44b4321cec9daa0081eef2,aave_v2,-27918.558824
0x3bcf3db69897125aa61496fc8a8b55a5e3f245d5,aave_v2,-2600000.0
0x21d58d30112ee38743bf66b0cba9637bac0e6953,aave_v2,-3945.385813
0x10b31fd3325edc63e0e4f8d800659a4ef6c9f899,aave_v2,-9993.094064
0x5e4b61220039823aef8a54efbe47773194494f77,aave_v2,-911.373503
0xe13267c4151014324a6b4ca398510865ac2fb27d,aave_v2,-2057992.976114
0x38d470b3d9ac6bcc3b06718461213dd1486b4f33,aave_v2,-833.842594
0xe400a9b82cfc34c75fed61ccc3a008154899f5be,compound_v2,178.565095968984
0xd90596f77d1367fcd5590505ef0a1d745c3a6a9b,compound_v2,107.11825721485201
0x55e1490a1878d0b61811726e2cb96560022e764c,compound_v2,9.12e-09
0xc84ce76cc6cdce81b17f531145a190a9c23c6871,compound_v2,0.0
0x882f27182d95f0655f6cc71631358c19cc5bddb5,compound_v2,0.0
0x1af86eec2d46160b784ab7f4ff9c62ec7294d762,compound_v2,0.0
0xf1fe3f42834e22ff48afd1cd61e7d22e8e4fbdf9,compound_v2,0.0
0x6f1a5b6f798a49ab8fb24d49d4dc02ebe702658a,compound_v2,0.0
0xb0f316a5ea27d05496b4a08a042bfc7a92ee098e,compound_v2,0.0
0x9797766003f1520b22f5d1f143bacfdd2c6bdb5e,compound_v2,0.0
