owner,proto,tenure_days
0x9301fad136578e07b7f91a2e0611464ced1fbef0,aave_v2,633
0x11502311a80736dad252cc8cf95125dfc041fd15,aave_v2,633
0xaa24d0ee83cb785be0a571692e516fa62ba43ef3,aave_v2,776
0x68c5010f22ce9adc655b8f94014768cc5f071823,aave_v2,632
0x94f4d3a5791f71ffdd83ac5d0d7f16846b835bb0,aave_v2,787
0x1d03927a4f08628accd208ba65cf7c96180602a7,aave_v2,778
0x4c1e06cc1eabea9bdb26be199c0b7011ac1a126c,aave_v2,165
0x2e0fbb2ccdce0bc06174e80e807a3ca1460304e6,aave_v2,116
0x717f538a9a095d4c28de6e533bcf1da9751ea147,aave_v2,160
0x292d6e8373bb0ecf11fa86b367e338156384e573,aave_v2,55
0x94e61aea6ad9f699c9c7572b1a2e62661fed98b6,aave_v2,55
0xe98b2e58bab4cf89c8d0f96b2745886b9b3c58f1,aave_v2,410
0x324597ba077df37fd4761e0db96e8d6f85300b85,aave_v2,294
0x3b4a485e6a9d00b3d39ce07dd8dc6ef807f3eae6,aave_v2,433
0x99dc81489b75268baad66e2eb2301371d1ce235a,aave_v2,107
0x0dbf0442d393d14ea300e625a4cf517697e9618b,aave_v2,107
0x4043806f2d2bd98dcdfab0a4477528ebe1c4c0c8,aave_v2,87
0x1e17a75616cd74f5846b1b71622aa8e10ea26cc0,aave_v2,374
0xd78ed01ab3b0ef3f7ddfb848cda0d6da6d86eecc,aave_v2,679
0x2086bcd077170ca7de80542b2b0408c32162c5da,aave_v2,320
0xa950aad36c41cb9c7b2836632163045a04350593,aave_v2,657
0xaa30e3f0da0363397c0bcd62636c9ad2c4690e18,aave_v2,293
0x70b89b95777ddaa0255fe892b191dfc52b476c86,aave_v2,788
0x538cc592d45deea540968e4fffb98efa01761bdd,aave_v2,285
0x3c0bd1da40d9e4cd911694d725370154ca5f690e,aave_v2,284
0x0df7e892f545d164c40dc7dbf0c87bd69de732fb,aave_v2,277
0x478e1a183cddaaf9378191e05f75a1951238113c,aave_v2,253
0x0f26b6f84a9b0f1582f8a83c61f0fb5b05b07c32,aave_v2,670
0x98db9f41001c30c054ceab2129460ef77ded4650,aave_v2,757
0x4d8cd0d84e677cd2e13c29c75d7673fed94a14bf,aave_v2,756
0x358b5b705a2c94bd51e9f7477a78f7f2fde375e6,aave_v2,224
0xd377ca63cad0683f72134992379a84cc9e9e9374,aave_v2,739
0x3607ece5b75ff52b1fd151ab9adca653d16f549e,aave_v2,446
0x836b44a9e7b1364a56039b8f4e361eb32945cd9a,aave_v2,224
0x92d6ff4d617970859a147866c789e979cc282d38,aave_v2,217
0x92de28770ac97101d115be8cbfb3b45b94b2700f,aave_v2,723
0x21154b4a80a3c1debdd7f4b5ff3dab45809cf82c,aave_v2,466
0x2e78b851a101e7b4fff63d9c3bca1c3bbfd4a858,aave_v2,458
0x44b0b3bd1e852776e7f6f4ca17d228e144ef1802,aave_v2,456
0xf93ed1027e490288e08f197c57f279175f139249,aave_v2,183
0xf85e1f67ed85b273cf70bc15a7df6753c40e845d,aave_v2,442
0x7e5b35a6c1861fb22324146d6a1ff5f362c82966,aave_v2,173
0xfece5fb632c905609f1d5186cbd5b89b437ff617,aave_v2,173
0x648b826f860c7d41979d9f8fd78b7c45d5d6bf72,aave_v2,170
0x47c8778b164cf5f1dce7fd88a2b470175afc7510,aave_v2,673
0xc4d28a73d4e66472d0313db372e22553c611cb83,aave_v2,670
0x900954446c1736ce420969cd7988f8a9af1b3a6c,aave_v2,670
0x42edc9e6a511bcc25503e1eff7ca77b635fb39ba,aave_v2,820
0x7fe86401944cfe2d15f2d7149373e1c73554546a,aave_v2,806
0x8b4ce7308ab59a070ec6ac6eed8e57c4c6d49e9f,aave_v2,130
0x90632e6f10e091d60325a07f3078b565a84e6a87,aave_v2,806
0xac1f30aa7eea752f0cdcf6cff4fa8e544ed9da6d,aave_v2,130
0x44e4e859e646af0642e1cfa3aa618b3519ff086f,aave_v2,792
0x68c7f8e1ecb20e0b84f7b38568c720485580cd9a,aave_v2,118
0x064d3230f753d8c14e06cf491fe2f1a3d2ccd5dd,aave_v2,115
0xf67a4fadc82f5ef0c59de2faec61ee116cc0e1e9,aave_v2,624
0x76d20ddcd78a390ed98dac011d27572c0f5645b1,aave_v2,173
0xd21d72ffa213fa23a00c91670ae420e4531f1db3,aave_v2,78
0x92d3bfd1891a0c92326790778df6e35444315694,aave_v2,426
0xb792008aa54928fbbb49c3fc25732ccadfa1b47e,aave_v2,396
0x067e2069acf2a133c71b453da8e7a13c66eeeb2a,aave_v2,396
0x9663a4cf47174c02add34a60d9bac5252f59bf0c,aave_v2,41
0xbd0eee2f4e76056e59256a9a9f4d1e4f0fc3fd2a,aave_v2,32
0xf4a0ea513f78e110f2cd5f689b28514764dcb092,aave_v2,508
0x67cd9e478e8216a6690e9846065be3d1b1f11dde,aave_v2,508
0xa9197ae40beef3c8074f10786e1abdce963ba09b,aave_v2,14
0xf426b8e7c73e83ba74d93131074ea68bbfaff859,aave_v2,497
0xf925797f64bd7083b65cc157aea3005c8c4231cb,aave_v2,664
0x0f4448f709bfec57a449e860a46153e997d64861,aave_v2,464
