hour,n_withdraws,n_wd_wallets,outflow_usdc
2023-03-05 15:00:00.000 UTC,3,3,225491.345749
2023-03-05 19:00:00.000 UTC,1,1,140000
2023-03-05 21:00:00.000 UTC,1,1,120000
2023-03-05 23:00:00.000 UTC,1,1,100000
2023-03-06 00:00:00.000 UTC,1,1,165917.87271
2023-03-06 02:00:00.000 UTC,2,2,202500
2023-03-06 03:00:00.000 UTC,1,1,11000
2023-03-06 04:00:00.000 UTC,1,1,789.382687
2023-03-06 06:00:00.000 UTC,1,1,174982.5
2023-03-06 07:00:00.000 UTC,4,4,8860.182579
2023-03-06 08:00:00.000 UTC,2,2,23501.15
2023-03-06 09:00:00.000 UTC,3,3,928.5604539999999
2023-03-06 11:00:00.000 UTC,2,2,2292.224697
2023-03-06 12:00:00.000 UTC,3,3,1235621.992834
2023-03-06 13:00:00.000 UTC,3,3,2690806.948434
2023-03-06 15:00:00.000 UTC,1,1,529460.345182
2023-03-06 17:00:00.000 UTC,3,3,281352.994649
2023-03-06 18:00:00.000 UTC,3,2,2582667.255264
2023-03-06 19:00:00.000 UTC,2,2,169457.721896
2023-03-06 20:00:00.000 UTC,1,1,991106.147215
2023-03-06 21:00:00.000 UTC,1,1,127.122517
2023-03-07 00:00:00.000 UTC,5,4,109819.363
2023-03-07 01:00:00.000 UTC,2,1,1450
2023-03-07 02:00:00.000 UTC,2,2,322758.295618
2023-03-07 03:00:00.000 UTC,2,2,37098.273855
2023-03-07 06:00:00.000 UTC,4,4,4903770.333004
2023-03-07 09:00:00.000 UTC,2,2,200637.61034299998
2023-03-07 11:00:00.000 UTC,4,3,9420.069864000001
2023-03-07 12:00:00.000 UTC,1,1,400.000284
2023-03-07 13:00:00.000 UTC,2,2,594444.885948
2023-03-07 14:00:00.000 UTC,1,1,50000
2023-03-07 15:00:00.000 UTC,1,1,3322308.509324
2023-03-07 18:00:00.000 UTC,2,2,1894387.570198
2023-03-07 19:00:00.000 UTC,1,1,1150000
2023-03-08 00:00:00.000 UTC,2,2,5760066.366615
2023-03-08 01:00:00.000 UTC,1,1,2000
2023-03-08 03:00:00.000 UTC,1,1,50000
2023-03-08 04:00:00.000 UTC,6,3,1029086.670296
2023-03-08 05:00:00.000 UTC,3,3,2967838.586784
2023-03-08 06:00:00.000 UTC,2,2,1550010
2023-03-08 07:00:00.000 UTC,1,1,23000
2023-03-08 09:00:00.000 UTC,5,5,1040571.4306210001
2023-03-08 10:00:00.000 UTC,2,2,79217.515665
2023-03-08 11:00:00.000 UTC,5,5,3805363.4768310003
2023-03-08 12:00:00.000 UTC,1,1,249783.591422
2023-03-08 13:00:00.000 UTC,3,2,2703980.842983
2023-03-08 14:00:00.000 UTC,2,2,58996.5
2023-03-08 15:00:00.000 UTC,1,1,529594.70535
2023-03-08 16:00:00.000 UTC,1,1,263811.976231
2023-03-08 17:00:00.000 UTC,1,1,458624.997664
2023-03-08 18:00:00.000 UTC,2,2,36064.126985999996
2023-03-08 19:00:00.000 UTC,1,1,65032.5
2023-03-08 20:00:00.000 UTC,3,1,395652.411404
