owner,n_sells,usd_sold,dumped
0x852894f1a1057364fff9521e1a7d3eac1609e52c,0,0,0
0x934a7851c0af5e74ce754f5d748e2879d71d824c,0,0,0
0xebdb4e17cb0fe5957e9f6a40e809e19996e784e8,0,0,0
0x9496dce6bf4368b3dfa0a08910402db6a0a37deb,0,0,0
0xc6a15015b9364cd0e4942fdb064cb06474d5d0a8,0,0,0
0x7ff7bea0f556435228e9c7b578619708b698bacd,0,0,0
0xcee8886fb28d3bf37e608a4e08ac97ffcd479056,0,0,0
0x431e81e5dfb5a24541b5ff8762bdef3f32f96354,0,0,0
0xb258ad4125e84068f3a47fbbc4f6aced2bc148ec,0,0,0
0xdeb0804d5e54d49c1923da459730e66b60eead6b,0,0,0
0xaae96b3720d3499ca3b40c55ef16f34d7fcfa06d,0,0,0
0xb2a4f4fd811cbaf12cb76f42effa0db9ef4490cc,0,0,0
0x0e2094f5d39863ba24d7e2f7ae975b35bd91de64,0,0,0
0x3d31da031ad4491c65740e946c9262b0f90a294d,0,0,0
0xb019b6c3d8096e3bffab38266842109a3856888f,0,0,0
0x0c7940b3c5b58c801de112665c0026b810815b4f,0,0,0
0xfba89f73fd1344c7cfbdc40b3918e5236a226f28,0,0,0
0x27239549dd40e1d60f5b80b0c4196923745b1fd2,0,0,0
0x6f2435d7ef0c4113715605b9160e921ecf5f4ba6,0,0,0
0x8bf041a7953ca4e42abe1cc4a0edb415d21863d0,0,0,0
0x142e8333072899f4c6343aa5d5280488443cb76b,0,0,0
0x84785b729fe433a8773fb654737e20a146883ca2,0,0,0
0xbca2ac965ab0904583120989b4e4834fffe544ec,0,0,0
0xd74ff9746e4b95d16d1b3aeb9800cc97f5c7cce5,0,0,0
0x0b23e0b2c629e9596fdcb9c17071641aea655752,0,0,0
0x89941a13724ad2cfded0cd53f37293133b0225dd,0,0,0
0x6dea5dcfa64dc0bb4e5ac53a375a4377cf4ed0ee,0,0,0
0xeb174e7b5b7d0d18fc1be062bb45efde83f36aeb,0,0,0
