day,inflow_usdc,outflow_usdc,net_usdc,n_deposits,n_withdraws,n_dep_users,n_wd_users
2023-02-12 00:00:00.000 UTC,969267.0746270001,266798.897438,702468.1771890002,11,16,10,10
2023-02-13 00:00:00.000 UTC,19152100.166755,10020914.500823002,9131185.665931996,26,27,19,20
2023-02-14 00:00:00.000 UTC,1866101.9800099996,1799724.857578,66377.12243199954,12,26,12,18
2023-02-15 00:00:00.000 UTC,7204379.551647999,7374971.910464,-170592.35881600063,18,29,13,24
2023-02-16 00:00:00.000 UTC,12954039.158090997,19573067.300633997,-6619028.142542999,20,51,16,29
2023-02-17 00:00:00.000 UTC,14621904.848888,1444832.802428,13177072.04646,17,19,15,17
2023-02-18 00:00:00.000 UTC,85336639.047102,171126.069702,85165512.9774,15,19,14,17
2023-02-19 00:00:00.000 UTC,51763.313465,6002713.339669,-5950950.026204,8,25,7,22
2023-02-20 00:00:00.000 UTC,2920532.587129,10404297.465924,-7483764.878795,16,27,11,21
2023-02-21 00:00:00.000 UTC,10760.179724,2132407.060767,-2121646.881043,15,13,15,13
2023-02-22 00:00:00.000 UTC,176060.50405,27715806.126086,-27539745.622036,80,18,75,16
2023-02-23 00:00:00.000 UTC,15495.613408000003,2125040.4959499994,-2109544.882541999,45,20,44,17
2023-02-24 00:00:00.000 UTC,260485.668677,1505851.543707,-1245365.87503,43,16,41,14
2023-02-25 00:00:00.000 UTC,6381269.24794,2819139.189946,3562130.057994,66,24,64,23
2023-02-26 00:00:00.000 UTC,452040.1282909999,1633135.7274779999,-1181095.599187,46,24,44,23
2023-02-27 00:00:00.000 UTC,114283.93274300001,1986755.754109,-1872471.821366,31,24,29,23
2023-02-28 00:00:00.000 UTC,1537429.131337,1310623.348899,226805.78243799997,28,17,27,16
2023-03-01 00:00:00.000 UTC,2843531.553931,1723178.2040480003,1120353.349883,17,20,16,17
2023-03-02 00:00:00.000 UTC,235663.21007700003,1580068.677482,-1344405.467405,15,15,14,13
2023-03-03 00:00:00.000 UTC,4309742.071086001,12054617.845632998,-7744875.774546998,21,30,18,25
2023-03-04 00:00:00.000 UTC,83712.243336,9632819.544056,-9549107.30072,13,15,12,14
2023-03-05 00:00:00.000 UTC,487321.601521,28704,458617.601521,11,5,11,5
2023-03-06 00:00:00.000 UTC,7896152.242467999,3426834.499921,4469317.742547,20,16,16,15
2023-03-07 00:00:00.000 UTC,915753.4843140001,3614772.832808,-2699019.348494,17,18,17,13
2023-03-08 00:00:00.000 UTC,4470795.223053999,6066606.768819,-1595811.5457650004,24,33,23,26
2023-03-09 00:00:00.000 UTC,4572173.946387,28559632.88605,-23987458.939663,36,38,32,24
2023-03-10 00:00:00.000 UTC,9475106.48617,18633885.020382,-9158778.534211999,47,60,34,52
2023-03-11 00:00:00.000 UTC,60307320.07663501,38071825.524031,22235494.552604012,139,97,87,88
2023-03-12 00:00:00.000 UTC,9218035.557768002,3579989.862738,5638045.695030002,39,27,28,24
2023-03-13 00:00:00.000 UTC,18599943.691886,30538387.767270997,-11938444.075384997,31,53,29,44
2023-03-14 00:00:00.000 UTC,14888952.333329,10300080.586563,4588871.746765999,25,45,22,28
2023-03-15 00:00:00.000 UTC,4303331.809903,3738736.8317059996,564594.978197,20,26,20,24
2023-03-16 00:00:00.000 UTC,3619386.68799,3419139.5112260003,200247.17676399974,18,19,17,16
2023-03-17 00:00:00.000 UTC,11117974.511518,3278722.217247,7839252.294271,22,48,21,36
2023-03-18 00:00:00.000 UTC,11322846.201100001,15368943.857601004,-4046097.6565010026,30,43,27,34
2023-03-19 00:00:00.000 UTC,1624125.8454769999,4783790.975933,-3159665.1304560006,32,39,30,26
2023-03-20 00:00:00.000 UTC,2315460.1158060003,3753399.073875,-1437938.9580689995,35,38,25,26
2023-03-21 00:00:00.000 UTC,5411815.9954160005,3239511.7737249997,2172304.2216910007,28,31,23,23
2023-03-22 00:00:00.000 UTC,1820604.3443749999,5537256.509459,-3716652.165084,20,26,17,15
2023-03-23 00:00:00.000 UTC,2836869.771574001,1708096.4557889998,1128773.315785001,21,24,21,20
2023-03-24 00:00:00.000 UTC,3261314.825065001,6930279.370553,-3668964.545487999,37,35,33,24
2023-03-25 00:00:00.000 UTC,1147003.623785,520156,626847.6237850001,39,19,35,9
2023-03-26 00:00:00.000 UTC,6831654.037972997,1374150.000011,5457504.037961997,31,14,31,13
2023-03-27 00:00:00.000 UTC,275398.019535,1368615.651119,-1093217.631584,22,16,22,16
2023-03-28 00:00:00.000 UTC,1161909.604819,3968649.850142,-2806740.2453229995,22,14,16,12
2023-03-29 00:00:00.000 UTC,923021.32798,3379295.227986,-2456273.900006,20,23,16,21
2023-03-30 00:00:00.000 UTC,1874495.193537,1025812.9975919999,848682.1959450002,20,23,18,18
2023-03-31 00:00:00.000 UTC,1351913.396781,5261539.558059,-3909626.161278,16,27,14,19
2023-04-01 00:00:00.000 UTC,831583.919036,341923.71665,489660.202386,18,19,18,16
2023-04-02 00:00:00.000 UTC,2448404.831777999,163161.333389,2285243.498388999,17,11,16,11
2023-04-03 00:00:00.000 UTC,8840382.670317,4709659.610537,4130723.05978,21,24,18,23
2023-04-04 00:00:00.000 UTC,1435826.539856,574182.691677,861643.8481790001,16,19,12,17
2023-04-05 00:00:00.000 UTC,3228024.0221270006,1732797.526784,1495226.4953430006,13,16,11,16
2023-04-06 00:00:00.000 UTC,1167888.917008,2738866.578892,-1570977.661884,15,16,13,13
2023-04-07 00:00:00.000 UTC,3938039.242822,6271777.683744,-2333738.4409220004,23,21,17,19
2023-04-08 00:00:00.000 UTC,3037345.294445,2578350.691814,458994.60263100034,24,17,23,16
2023-04-09 00:00:00.000 UTC,2326651.053194,460400.409317,1866250.6438769998,26,20,22,13
2023-04-10 00:00:00.000 UTC,12004140.770849999,6876874.031706,5127266.739143999,15,22,13,20
2023-04-11 00:00:00.000 UTC,3626155.1304740002,6668016.137770999,-3041861.007296999,18,37,16,30
2023-04-12 00:00:00.000 UTC,4532997.552697999,980012.726245,3552984.8264529994,33,25,28,17
2023-04-13 00:00:00.000 UTC,10688841.757938,25775642.34302,-15086800.585082,17,45,16,31
2023-04-14 00:00:00.000 UTC,8010004.960919001,22046937.941136,-14036932.980216999,28,46,23,25
2023-04-15 00:00:00.000 UTC,11533681.611301998,8943644.790862001,2590036.820439996,20,24,18,23
2023-04-16 00:00:00.000 UTC,883760.493625,5511744.047798,-4627983.554173,17,25,15,18
2023-04-17 00:00:00.000 UTC,10266486.58157,13116069.913425999,-2849583.3318559993,31,27,28,25
2023-04-18 00:00:00.000 UTC,4207291.784888,525579.85943,3681711.925458,9,19,8,17
2023-04-19 00:00:00.000 UTC,10523068.572776001,720151.591193,9802916.981583001,11,24,9,16
2023-04-20 00:00:00.000 UTC,547069.8386319999,10826321.751926001,-10279251.913294,17,19,14,15
2023-04-21 00:00:00.000 UTC,14959010.571422001,984749.008556,13974261.562866002,24,21,20,18
2023-04-22 00:00:00.000 UTC,8456224.70971,6924353.694948001,1531871.0147619992,16,12,15,12
2023-04-23 00:00:00.000 UTC,48845.000372,178819.338736,-129974.338364,5,11,5,10
2023-04-24 00:00:00.000 UTC,3144964.93846,19548809.63565,-16403844.697190002,16,26,13,20
2023-04-25 00:00:00.000 UTC,9002507.370188,2302592.4940609997,6699914.876127,17,18,16,18
2023-04-26 00:00:00.000 UTC,2193351.707287,7663842.410579,-5470490.703291999,18,31,15,19
2023-04-27 00:00:00.000 UTC,14760546.507655999,14882156.830184001,-121610.32252800278,21,30,19,20
2023-04-28 00:00:00.000 UTC,10459362.045094,9747014.246731,712347.7983630002,23,21,16,19
2023-04-29 00:00:00.000 UTC,61482.221720999994,5286302.095056999,-5224819.8733359985,10,16,8,9
2023-04-30 00:00:00.000 UTC,8092966.249330999,1244668.85423,6848297.395101,11,8,11,7
2023-05-01 00:00:00.000 UTC,5401046.656410001,318900,5082146.656410001,23,8,20,8
2023-05-02 00:00:00.000 UTC,10500544.510418,6533461.314029,3967083.196389,18,20,18,18
2023-05-03 00:00:00.000 UTC,1208646.319803,2375445.911291,-1166799.591488,8,14,6,14
2023-05-04 00:00:00.000 UTC,2262664.69559,9714085.806742,-7451421.111151999,9,10,9,10
2023-05-05 00:00:00.000 UTC,10003014.897439,145418.330817,9857596.566622,2,14,2,13
2023-05-06 00:00:00.000 UTC,343425.477983,332016.363527,11409.114455999981,13,5,12,4
2023-05-07 00:00:00.000 UTC,450000,196800,253200,2,7,1,6
2023-05-08 00:00:00.000 UTC,3850657.35104,12455068.413148,-8604411.062108,14,13,9,12
2023-05-09 00:00:00.000 UTC,981346.21603,986487.9997449999,-5141.78371499991,7,25,7,16
2023-05-10 00:00:00.000 UTC,1902094.729932,1186594.9211630002,715499.8087689998,9,8,9,7
2023-05-11 00:00:00.000 UTC,1465518.8803519998,11114501.016564,-9648982.136212,12,9,11,9
2023-05-12 00:00:00.000 UTC,12910379.908752,285861.1702,12624518.738552,21,15,15,12
2023-05-13 00:00:00.000 UTC,8230321.841963,414187.17027400003,7816134.671689,10,11,10,11
2023-05-14 00:00:00.000 UTC,1888547.068729,1737853.6145469998,150693.45418200013,13,13,8,11
2023-05-15 00:00:00.000 UTC,6650874.070358,6926435.247467999,-275561.1771099996,9,17,8,17
2023-05-16 00:00:00.000 UTC,393857.406845,2364339.4773949995,-1970482.0705499994,11,12,11,10
2023-05-17 00:00:00.000 UTC,822315.866208,1977871.554672,-1155555.688464,6,11,6,10
2023-05-18 00:00:00.000 UTC,766756.792271,73640.09213699999,693116.700134,8,8,8,8
2023-05-19 00:00:00.000 UTC,1625360.39863,5372723.802436,-3747363.403806,8,13,8,13
2023-05-20 00:00:00.000 UTC,2302104.848702,2796833.279071,-494728.43036899995,17,14,10,13
2023-05-21 00:00:00.000 UTC,1409489.74427,1358168.2402340001,51321.504035999766,14,14,12,10
2023-05-22 00:00:00.000 UTC,2084703.077341,12513727.35451,-10429024.277169,5,8,5,8
2023-05-23 00:00:00.000 UTC,253526.946266,2431500.187244,-2177973.2409779998,6,16,6,16
2023-05-24 00:00:00.000 UTC,4495484.352530001,9428690.503384002,-4933206.150854001,18,17,17,14
2023-05-25 00:00:00.000 UTC,2786627.6542670005,8772576.823038999,-5985949.168771999,9,18,8,17
2023-05-26 00:00:00.000 UTC,12261503.178135999,8569803.480265,3691699.6978709977,12,11,12,11
2023-05-27 00:00:00.000 UTC,1042512.047492,310750.002102,731762.0453900001,10,7,10,7
2023-05-28 00:00:00.000 UTC,187247.945037,227703.76068,-40455.81564300001,10,10,8,10
2023-05-29 00:00:00.000 UTC,2601025.235781,1560542.009937,1040483.225844,8,17,8,14
2023-05-30 00:00:00.000 UTC,1269670.357336,2578960.6161579997,-1309290.2588219997,10,11,9,11
