market,owner,role
compound_v2,0x17d550edad66e1f846e007598b5982219aeac369,sender
compound_v2,0x34e9e52ab9997a477e4cc43775766bfff41a2de1,sender
compound_v2,0xc92782afb6729a468b42580309836c1435d95d57,sender
compound_v2,0x6fdf91e7133fe48142a507a064016ad7a66a8730,sender
compound_v2,0xed5ca849ff06b502457073c14b6570f932ff4bd5,sender
compound_v2,0x89f39f7bc269a6972948ffa32ce1537ea68a8d4e,sender
aave_v2,0x97e140c64da1a14bc4efb0e54c8c4002400c2dde,sender
compound_v2,0x03c245bafcc0a80cd73b170d26e3d3663b90793c,sender
compound_v2,0x27c9cab6234316aaff40e2ffa0c138afdfdf52c4,sender
compound_v2,0x535d56e8daa1fabdb23b53791996051d39b496df,sender
compound_v2,0xd0f907153bf67d4b26b937b2c087aa5cb5d45d12,sender
