owner,ever_borrowed,n_borrow,n_repay,net_open
0x3d6a724247c4b133c3b279558e90edd0c5d25751,0,0,0,0
0x57334aab534f2fb861461262b158b65f22b387e2,1,4,0,4
0x01806afd860bc8fc210ef84d2d8cca91b66c65a5,1,6,2,4
0xb41f6d0832f70282229916e788676a9cd92d9192,1,4,4,0
0xaff509ff51c9d9ca96ce05e2cdc4403912fc355e,1,3,2,1
0x7d9e9799f028c6c53833c518024aa11673a3ebc4,1,1,1,0
0x6fce63859a859a0f30ed09b12f5010d790618ca4,1,31,22,9
0x98f32171d88f9511b397809534ee42acfce4f640,0,0,0,0
0xbf4d7d899aa90f5e5e54ec26bcbe351f582f2a7f,1,3,1,2
0x07da42ccbca1c2b32cf56b88de71e1aeed9bb1b8,1,3,2,1
0x3fe4104753826bfff05d3a5df8d2f5400f8ad9f8,1,3,1,2
0x925cd09730ba1830f429148261ba46712ffdd870,0,0,0,0
0x82668085578f0ab33c2713a45edabc30eab4a5b4,1,1,1,0
0xf9ce9e435ebad01801e8af0400e546b9653adc23,0,0,0,0
0xf9c6f3df8c68e96a9b1b44fa0c5546b078eaad95,0,0,0,0
0x846985c5308a0d91f4feba169e7b220368be2dab,0,0,0,0
0x1c8163daa4b8c8367d3f2657de383a79e4e61af3,1,2,2,0
0x25b1f20c61e12a8c0c40f07c02f35e556ec8d10b,0,0,0,0
0xe3087a8a0cb3e0299edb78c671f7d55464355037,1,1,1,0
0xb145ed57fdf5b6f4fc7d8ec9a2f03026a218f000,1,1,1,0
0x84a68630ec7ee6280b0b7e02b3ffcaf006039870,0,0,0,0
0xfafae2220433cddba9f0425ccc64a812ab0725f6,0,0,0,0
0xe67d3b0bdfd1d853fbce6c0898b464e332a67b18,1,1,0,1
0x6794d253fa99c4c24b77002fdecf2025a03c6c93,0,0,0,0
0x9e2be55fa07852610003efd69a27089345dc17e8,0,0,0,0
0x61bb73be1bd27523232b988ee56fede8f5d2c2ea,0,0,0,0
0xe6f92bca9f44c8e7034711db77cc28e946498bfc,1,2,0,2
0x089e9f99fd0561a5868617e68785032a42c436f1,1,13,0,13
0xde47e22ea57cc8981779d2523f085703ea83c08c,0,0,0,0
0xa3315544a622d1dd836b2465855942c99f541b34,1,1,1,0
0x0843551af3eb212727c2e6e8a74601e3dcd1fa05,1,2,6,-4
0x06c9d1c55aedfe601d938bde1fa03109a6e940b7,1,16,12,4
0xc19e5fefd632c66e12decb16827669d53082aed6,1,39,23,16
0x46135d7d509d4231a31bac8a9b23a1e2f30a77ab,1,1,0,1
0x9681319f4e60dd165ca2432f30d91bb4dcfdfaa2,1,23,25,-2
0x5948de29bf989a1b5a7587c5f64624655c86a542,1,2,2,0
0x4edaa8c329f1f72e10a64a3d7454fa277332371b,1,1,2,-1
0x4354b4494eab2762ce5da44402cb3adb5009dcae,1,6,9,-3
0x0d17b86aed4acebde0baa3c11877376d3c8ac88a,0,0,0,0
0x63ee894062e4d86bd76b1e4808618e9bcd144c6e,1,10,13,-3
0x2c591a093a29678b7cecb000bec5ff8dd15cc6ae,1,7,2,5
0x0249bea8bd7820ce8c8f122dc48ca1a2adda1ca6,1,65,45,20
0x320ef810f470906b04bb23fd109f10745b8478dc,1,1,1,0
0x4e298fced358385489743ecb346c13a9792d2862,0,0,0,0
0xfc4fe3af75beb6ddc08fbe5c52a66ed4a9b0ff97,1,5,3,2
0xb61959b37aadff714af150580559858483459b8e,0,0,0,0
0x246e8ae11a6abdf2d0496b2fc754705fcdf122a3,1,3,6,-3
0xff879ca9c84d976db7e0180436e3a689ed70e1d2,0,0,0,0
0x543f3b7233f461935255ba32f71b9d910f91f6a0,0,0,0,0
0x1552fc0001ed33d3934690c138102f37f70dfab1,0,0,0,0
0x3ff8788f9172d77a9688939bc00442c7be9042bf,1,4,3,1
0xf0a2da04f21d743dc73fab07d1796f4362ecff68,1,4,1,3
0xf662f831361c8ab48d807f7753eb3d641be25d24,0,0,0,0
0x76cc9e2312a1d7eb2da10f5b1ed898fd747a1669,0,0,0,0
0xed292c433a828557428590cdd3b16db370ae1032,0,0,0,0
0xac10c41ae246f2acaa3eeef2cd869faf58513e6d,0,0,0,0
0x2091b12446f0e79cc5ea6657ed52a9dee5ee91a8,1,57,36,21
0x5e75f78a7e50121f0ad6440651c5567c0578d9b5,1,6,1,5
0xbf4d0834ec11c74431398cfa5ebd17b1c55335e8,0,0,0,0
0x7efe3ac6ec0ff5b6136766ac79a97c1e9d8fd585,1,4,4,0
0x364b6a0c7cfa831b266af0199c2be6b6450f4369,0,0,0,0
0xbbbb870677cab458ca30a5d086aca391633d93e0,0,0,0,0
0xd7c25449db72c35928caae4455afba2025121838,0,0,0,0
0x46082f0365e9fea4581cf66907abd185ed624508,0,0,0,0
0x723c24787334a9265733ebfa44e0512864b1e4de,1,1,0,1
