ev_in,ev_out,market,owner,pl_out
9893.771241,5698.564106,compound_v3,0x5d06d5bc72faf557939f48377cb774aa097edd91,0.0
0.0,6011.185645,compound_v3,0x5739cee517442cfcf017eb0ba06ed5bd136155df,0.0
0.0,9035.685842,compound_v3,0xb6446ea1e4a1a85fb30496b82eaf8fbad3de7104,0.0
0.0,312708.400792,compound_v3,0xa151776ef17740a435805e1367019518e16ce0dc,0.0
0.0,0.0,compound_v3,0x3204f526a7ca628a3b2e8c272ff0e24f92511fc6,0.0
0.0,0.0,compound_v3,0xb2acd3caab07d899ddab548794b16747d4922ca4,0.0
0.0,0.0,compound_v3,0x88b7a44cecd526cd2d424b0a4cc2bbb26341dd8f,0.0
0.0,0.0,compound_v3,0x21c89106521bfe79fe7e87e658a48794e53d027a,0.0
0.0,0.0,compound_v3,0x2d361394ea6bf8a3e9cbc0d28c5426ef768a153d,0.0
0.0,0.0,compound_v3,0x292659de4a3be50b3a454083a7434fe7ced0f678,0.0
0.0,0.0,compound_v3,0x5bd458485d40ca6232b8c96aa88a1d69264ad36d,19337.624696
0.0,0.0,compound_v3,0xbe44707d49cd8362788bd06f107a8dc47fa2ac09,0.0
0.0,0.0,compound_v3,0x6cd72b1e6e300340a48943d6af34ef5ae07d3577,0.0
0.0,0.0,compound_v3,0xf946d2068a549b3225cf188339010a8383dea5f1,0.0
0.0,0.0,compound_v3,0xf233ccb7960aaf379d19189ab403b1b4ab8bfcc1,0.0
0.0,0.0,compound_v3,0xa39b674e6a89c39d3a8cc01d21e0e16e2dd7238d,0.0
0.0,251839.804743,compound_v3,0x8a26ec0065cb68aac898d588d82f90d6bddc3577,0.0
0.0,0.0,compound_v3,0xfb78db4d7732e29bd6eccebe08b56bd2b32c9aa1,0.0
0.0,0.0,compound_v3,0x6640f1c6f59959b5dc85677465badf2b5f9141e8,0.0
0.0,0.0,compound_v3,0x910e413dbf3f6276fe8213ff656726bdc142e08e,0.0
0.0,0.0,compound_v3,0x15578446b17c0e3a6dbb4d07d990f3bbd1180e95,0.0
0.0,0.0,compound_v3,0x73a5dea042aeb13e9e9f81246281173f3ae3b0c3,0.0
0.0,99934.131025,compound_v3,0x512bfd4cce8c551cdda756a1da801f0644356045,0.0
0.0,4004402.284861,compound_v3,0x6914fc70fac4cab20a8922e900c4ba57feecf8e1,0.0
100000.457326,100000.0,compound_v3,0x8ea8212a240306b44efc9383ac1908ea73c55d02,0.0
0.0,0.0,compound_v3,0x574053576d2493cb3aa3a482e6e16ea7bb41c6f8,0.0
0.0,0.0,compound_v3,0x78d7df2543b97cba737401e4c274f44103a1f416,0.0
0.0,0.0,compound_v3,0x480f72d402a1810a54ba6ca29a43fadb9df994b4,0.0
0.0,1005251.505872,compound_v3,0x4a979fb4f12e1a1da7fea06102ffe7b71f04fbba,0.0
0.0,44874.489441,compound_v3,0x3688b712bb6659d64740d55c5b000711e484c4be,0.0
0.0,0.0,compound_v3,0x97f477a142769715984b58fa5e81822c3e4253ad,0.0
1238487.624668,1001910.94691,compound_v3,0x99980d92ebf8ce7e8d9ded4c59391b6e22bd4a5d,0.0
0.0,0.0,compound_v3,0x4df60c6f409c88423c1912bcea5309dafaaf96cd,100.0
