owner,bal0,tx_sent_count,wallet_age_days,ran,first_wd_hours,wd_win
0xddf33dfac858b7b588836a88a162e9b626a60431,3242888.4644710002,353,905,0,,0
0x20288c00bff0a616a1ec9e7d351948f1ef77b974,3241474.467724,1601,976,0,,0
0xb5ccc38dee973ede2d78c071e4b9c2e49783101c,3235529.9808489997,481,1275,0,,0
0x28a98f260d1096290a54b45e3a15e53a5b39acc2,3199962.171130999,188,434,1,48,3215700
0x2ed8165b98d35077360d155a26fb8516cdc735ce,3163076.34,247,235,1,54,1000000
0x7817c4100e8e51c147c7b7eac1259abbdf47e7f0,3154142.1620650007,475,127,1,42,1800008.908932
0x4a391f9b318741d21b58d06245a47e987938576a,3136840.744414,253,246,0,,0
0x17e8ca1b4798b97602895f63206afcd1fc90ca5f,3132350.236719001,0,,0,,0
0xd3800575345fa074fd4f33151a369208df523c3c,3019011.5059439996,0,,0,,0
0x8da064b0445f1d461b0a4fd598bcafad40569655,3000000,0,,0,,0
0x6022908baf09d038d9a32471f7d194ec8ee15759,3000000,66,488,0,,0
0x2f2bf6a2f1e18d5d6417158412d5b3a513f10bfc,2997100.332925,19,85,1,48,3004336.533109
0x7fbd2bf38983fa8ccc5b121d8d97aab1325121d8,2956872.9338020002,16,1051,0,,0
0xe6395145c839dac68d4f4c006101f88614d359f0,2947513.650366,118,327,0,,0
0x8f45c2d94e9fffde3e1078259bbc5a211be8f5e7,2922146.3134089997,1996,921,0,,0
0x743a87328003e3ef168f361eb442b841214d32a7,2920946.107951,85,430,0,,0
0x349a01774f22f51ffd46270b48f1fdc85ac9131f,2903253.2313070004,1596,254,1,27,800000
0x82f9ea8d814a6eb335cfe17500cdcbb69c7ebbfe,2891622.77087,3339,971,0,,0
0xd5f95aa6b7140d12442b80895021deb55c7b47dc,2888841.66583,86,208,0,,0
0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,2845531.727065,178,701,1,54,306239.403348
0x8dcf48fb8bc7fdda5a3106ede9b7c69fc2c7e751,2822462.2943280004,80,653,0,,0
0x79457a036ba1c59399353233c765f004e7c06adf,2804064.433626,615,1918,0,,0
0x5a0b3a59312701115d714be01c12ba205eca1b4a,2764921.952118001,60,747,0,,0
0xf90a295da359c27ea2d659678cda4f40103c5d9a,2722493.6599950003,599,614,0,,0
0x1bdd4874e4be949dfd237ca97e66c05aa4de355d,2664706.987869,412,466,0,,0
0xb1adceddb2941033a090dd166a462fe1c2029484,2649762.9169059987,22221,931,0,,0
0x603b1f7be3d807ea6de69a869ce9b74564aec31d,2645420.061044,444,219,0,,0
0x86c38963e837b6c977d6e4a5a78b5836f985ff36,2614628.895144,351,536,0,,0
0x3bcf3db69897125aa61496fc8a8b55a5e3f245d5,2599769.671834,0,,0,,0
0xf2aba42dcff6f912a2a6b4a52c279ad3246b17b9,2595421.400202,2400,793,0,,0
0x25953c127efd1e15f4d2be82b753d49b12d626d7,2572132.3406729987,911,678,0,,0
0x698b04fd991434026458eee65f0a706f7304afd6,2567779.75828,25,694,0,,0
0xa5eb6fef4ec26cc99a1c61dd892b8deee37484b5,2552781.4203520003,243,2365,0,,0
0x331865e142aca526b9f75464a2b597ecdacaf557,2500000,10,489,0,,0
0x41dc15160424085be4563e365113a1a76d262eb6,2499679.0480390005,391,247,0,,0
0x32e8d4c9d1b711bc958d0ce8d14b41f77bb03a64,2493432.2144430187,0,,1,29,3989.3
0xca00bf9fa7bee6034565bf5d8e7f95fe52182241,2483838.7738060006,23,207,0,,0
0x77578e7b32db07bcdd64e5f97d5f7a6045d87564,2480704.860053,75,442,0,,0
0x22416df834fa69a57f366bdecc42b21eb38e5d2e,2470660.281815,82,694,0,,0
0x171c53d55b1bcb725f660677d9e8bad7fd084282,2444782.269999981,5275,277,1,96,3000005.583701
0xccb03c59b60791d9535facba45045278bd58975a,2416134.661058,79,577,0,,0
0xbc180c6732b31cad87703169fe0381dc3d676149,2405686.3288210006,451,813,0,,0
0xb5a9621b0397bfc5b45896cae5998b6111bcdce6,2388676.898514,1458,1087,0,,0
0xcf21f21937f520b22955a1a4c523e2bb94954c80,2372847.669439,880,793,0,,0
0xff2f9238f803e093e1229fe06ec56e67b04bea17,2368502.893481,0,,0,,0
0x63d5f4ac36bb75f677d5a0a83496616c3dee2c60,2346631.5950449994,167,911,0,,0
0x7b49adb56ff4f1c6cdf4d486edce2ee7cc69422b,2313822.124226,2070,671,0,,0
0x375df727957a2ae2cc26fd4233150403b4b984a9,2307280.286139,395,992,0,,0
0xf16f8abd3b65cd2cb9e4a79f39a28137832dab89,2284523.701174,52,278,0,,0
0x42de10a720c59ed8dcc6e55d5e61e03b5ad70905,2275088.2589719966,6503,670,0,,0
0xc842ce7214a14fa98186a010bcb43c7e99e4caf3,2272532.6823629998,1235,645,0,,0
0xaf53caecada43ea1868d2a7c7b10e1185194d2fd,2250359.2438479997,10,209,0,,0
0x16a5ad132132f9603c069bbd525a50764feb268a,2243952.167193,697,911,0,,0
0xf5b4efcb704c3828d4ff4088f79b6a6601c7e07c,2243771.306194,513,689,0,,0
