owner,bal0,tx_sent_count,wallet_age_days,ran,first_wd_hours,wd_win
0x18c8f1222083997405f2e482338a4650ac02e1d6,200,56,1396,0,,0
0xb7741d42dd12178e0b03efbd1dfa6445f9c53849,200,38,1351,0,,0
0xe464e9b009c0e8adbe9f3d5098e741761988c5d9,200,12,562,0,,0
0x5c1b5e300d2937766dc8d5f99b567884e1afd8b1,200,0,,0,,0
0xa583d8a38ed7150080313c24ed43d28b78a1350e,196.931605,16,123,0,,0
0x7af3edc58487bad40a21b93d90f14453282d8df3,196.64502500000526,1860,934,0,,0
0xfc46430eb1d1b86b1bddd7d3a14bf7bd2d8a6d1b,185.922341,25,824,0,,0
0x97f477a142769715984b58fa5e81822c3e4253ad,180.9734490000119,39,365,0,,0
0x8474c43970481015019819936793ddc210a0050e,180.8234949999969,2591,958,0,,0
0xb2acd3caab07d899ddab548794b16747d4922ca4,175.39170399997965,111,367,0,,0
0xc3b91d7b118f8ba68734693d7077b45ecd5edb55,159.111581,83,968,0,,0
0x086dbcf9d25b476aaba8ae02cea177870d27b64c,157.7112780000025,1443,1960,0,,0
0xba262a49004931bd65f077a045aeef8c5978376b,149.44779600000038,337,942,0,,0
0xcc42586c5f8faadf03bf9a56f21a80b99996fc05,141.342535,55,675,0,,0
0xa358265418d72e0a37bbcb7cb2dbedde854ad70d,136.032928,19,239,0,,0
0xe33da8166bf19b1119ce88ac183bbf9dd64a4afc,124.742805,3,123,0,,0
