ts,price
2023-03-13 13:30:00.000 UTC,0.992773
2023-03-13 13:31:00.000 UTC,0.992773
2023-03-13 13:32:00.000 UTC,0.992773
2023-03-13 13:33:00.000 UTC,0.992773
2023-03-13 13:34:00.000 UTC,0.992773
2023-03-13 13:35:00.000 UTC,0.994382
2023-03-13 13:36:00.000 UTC,0.994382
2023-03-13 13:37:00.000 UTC,0.994382
2023-03-13 13:38:00.000 UTC,0.994382
2023-03-13 13:39:00.000 UTC,0.994382
2023-03-13 13:40:00.000 UTC,0.992583
2023-03-13 13:41:00.000 UTC,0.992583
2023-03-13 13:42:00.000 UTC,0.992583
2023-03-13 13:43:00.000 UTC,0.992583
2023-03-13 13:44:00.000 UTC,0.992583
2023-03-13 13:45:00.000 UTC,0.991476
2023-03-13 13:46:00.000 UTC,0.991476
2023-03-13 13:47:00.000 UTC,0.991476
2023-03-13 13:48:00.000 UTC,0.991476
2023-03-13 13:49:00.000 UTC,0.991476
2023-03-13 13:50:00.000 UTC,0.991228
2023-03-13 13:51:00.000 UTC,0.991228
2023-03-13 13:52:00.000 UTC,0.991228
2023-03-13 13:53:00.000 UTC,0.991228
2023-03-13 13:54:00.000 UTC,0.991228
2023-03-13 13:55:00.000 UTC,0.994103
2023-03-13 13:56:00.000 UTC,0.994103
2023-03-13 13:57:00.000 UTC,0.994103
2023-03-13 13:58:00.000 UTC,0.994103
2023-03-13 13:59:00.000 UTC,0.994103
2023-03-13 14:00:00.000 UTC,0.994427
2023-03-13 14:01:00.000 UTC,0.994427
2023-03-13 14:02:00.000 UTC,0.994427
2023-03-13 14:03:00.000 UTC,0.994427
2023-03-13 14:04:00.000 UTC,0.994427
2023-03-13 14:05:00.000 UTC,0.994788
2023-03-13 14:06:00.000 UTC,0.994788
2023-03-13 14:07:00.000 UTC,0.994788
2023-03-13 14:08:00.000 UTC,0.994788
2023-03-13 14:09:00.000 UTC,0.994788
2023-03-13 14:10:00.000 UTC,0.992176
2023-03-13 14:11:00.000 UTC,0.992176
2023-03-13 14:12:00.000 UTC,0.992176
2023-03-13 14:13:00.000 UTC,0.992176
2023-03-13 14:14:00.000 UTC,0.992176
2023-03-13 14:15:00.000 UTC,0.996076
