owner,ran_p1,ran_p2,ran_p3
0xb96527c84c920fe68e3916a7931b0a1825053ea5,1,0,0
0x2ed8165b98d35077360d155a26fb8516cdc735ce,0,0,0
0x81ea04c179b82d31662994a68b2582ad9d860f88,0,0,1
0x26cd1446d9453da40c7d3e10720e5caf7af1e731,1,0,0
0x9223f4702d712f6a0a8b2c8671e1f66be6cbad21,1,0,0
0xb748952c7bc638f31775245964707bcc5ddfabfc,1,1,1
0x2c75c16f3053de877fe866383ecbda4d66525427,0,0,1
0x5c7c6d069ba232718f37c27a9549b547c359e31c,0,0,0
0xc6c1d9c8161cf9f14dae56fe06218f72d804452a,0,1,0
0xd8ed823a08f38df1e0b7d1e71f66668c8a681d70,0,0,0
0x79d39bd3a3853e961785e1dc811fc7bb2169ab3e,0,0,1
0x590a5862eca5e6b1d22571882a1d5e0cfc6d6301,1,0,0
0xd7fd97d284e92a9a2d02cca308fd79fef361261c,0,0,0
0xd620aadabaa20d2af700853c4504028cba7c3333,0,0,1
0x6315b4bc7fe2310e4d344ecddc51d5ed6ad4f3c6,0,1,0
0x15c32f81df9b00b97b68148b6bdeb72d57f24845,0,0,0
0xa2c91f6bdfd251b771f631dec0c8385ad93735d7,1,0,0
0xc3c747d7acf6f7d097faffa7053ff97910c8a52d,0,1,1
0xddf33dfac858b7b588836a88a162e9b626a60431,0,1,0
0x0645736eecfe8b572cbabb885eaade641b659846,0,0,0
0xe18a59a244e6137851ca8b0ecf57456183120907,0,1,0
0x05656db19ec9ff8dfb437475b3d76ca9a29e968f,1,1,1
0xe140bb5f424a53e0687bfc10f6845a5672d7e242,0,0,0
0xb9d796794e8e51eaf6cdcdc639fa2d6dd567f0ab,0,1,1
0x342319f545faa4c0d32e32f6fee2e503701595f1,1,0,1
0x0b43c477f9f82a9fade4387873cccfca59b2209b,0,0,1
0x00000000032962b51589768828ad878876299e14,1,1,1
0xe1026a11e49675e5eefd937b91650d79727db38d,0,0,0
0xc01168001d29f28c7d20c8ca65b6e53f185a7e71,0,1,0
0x3e20ab5290925731b673accd5351e68a386855dc,0,0,0
0xce824663bccb32e2dad1a8f2a26b698290417b34,0,0,1
0x9aa09d36be9bceee36b3dc81c0a5137ecf7ea13b,1,0,0
0x1bd967d0bfddc2b5752336bf391be1030087ffd3,1,0,0
0xe52f5349153b8eb3b89675af45ac7502c4997e6a,1,1,0
0x95c5665eaa126878aa16b3c2a507c853701d5365,0,1,0
0xc2cce95593546a2e8a1ad2c2a0e4f046d5ceb5ab,0,1,0
0x0e16fa45c87caf641822e1c55b36dec5995209f3,0,0,1
0x006fffcf353044c09209e3ec7e452f7b93d1b12c,0,0,0
0xa0a101c27d6fe0816ac5724d135036578b529045,0,0,0
